GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ModernRestaurant,application,Table,17,0,0,0,8,0,5,0,5,0
ModernRestaurant,application,CourseType,58,0,0,0,2,0,4,0,4,0
ModernRestaurant,application,Item,24,0,0,0,11,0,7,0,7,0
ModernRestaurant,application,Period,78,0,22,0,16,0,16,0,5,0
ModernRestaurant,application,KundeService,61,0,6,0,14,0,10,0,7,0
ModernRestaurant,application,ReservationService,23,0,0,0,6,0,5,0,5,0
ModernRestaurant,application,Test,62,0,0,0,13,0,2,0,2,0
ModernRestaurant,application,Menu,87,0,20,0,21,0,14,0,4,0
ModernRestaurant,application,Kunde,17,0,0,0,8,0,5,0,5,0
ModernRestaurant,application,TableService,36,0,2,0,6,0,5,0,4,0
ModernRestaurant,application,ItemService,36,0,2,0,6,0,5,0,4,0
ModernRestaurant,application,Reservation,52,0,0,0,23,0,15,0,15,0
